uid expr treatment rep update lineage
final_comps_comp50_51 final_comps comp50 51 0 0.511807
final_comps_comp50_51 final_comps comp50 51 100 0.522655
final_comps_comp50_51 final_comps comp50 51 200 0.505823
final_comps_comp50_51 final_comps comp50 51 300 0.492741
final_comps_comp50_51 final_comps comp50 51 400 0.484275
final_comps_comp50_51 final_comps comp50 51 500 0.49449
final_comps_comp50_51 final_comps comp50 51 600 0.493745
final_comps_comp50_51 final_comps comp50 51 700 0.50406
final_comps_comp50_51 final_comps comp50 51 800 0.498693
final_comps_comp50_51 final_comps comp50 51 900 0.48537
final_comps_comp50_51 final_comps comp50 51 1000 0.47278
final_comps_comp50_51 final_comps comp50 51 1100 0.485581
final_comps_comp50_51 final_comps comp50 51 1200 0.478466
final_comps_comp50_51 final_comps comp50 51 1300 0.45826
final_comps_comp50_51 final_comps comp50 51 1400 0.453235
final_comps_comp50_51 final_comps comp50 51 1500 0.460327
final_comps_comp50_51 final_comps comp50 51 1600 0.478363
final_comps_comp50_51 final_comps comp50 51 1700 0.468759
final_comps_comp50_51 final_comps comp50 51 1800 0.472877
final_comps_comp50_51 final_comps comp50 51 1900 0.491905
final_comps_comp50_51 final_comps comp50 51 2000 0.460299
final_comps_comp50_51 final_comps comp50 51 2100 0.464835
final_comps_comp50_51 final_comps comp50 51 2200 0.444902
final_comps_comp50_51 final_comps comp50 51 2300 0.451271
final_comps_comp50_51 final_comps comp50 51 2400 0.463034
final_comps_comp50_51 final_comps comp50 51 2500 0.464098
final_comps_comp50_51 final_comps comp50 51 2600 0.469238
final_comps_comp50_51 final_comps comp50 51 2700 0.474118
final_comps_comp50_51 final_comps comp50 51 2800 0.462589
final_comps_comp50_51 final_comps comp50 51 2900 0.455628
final_comps_comp50_51 final_comps comp50 51 3000 0.455831
final_comps_comp50_51 final_comps comp50 51 3100 0.474862
final_comps_comp50_51 final_comps comp50 51 3200 0.483955
final_comps_comp50_51 final_comps comp50 51 3300 0.476163
final_comps_comp50_51 final_comps comp50 51 3400 0.470226
final_comps_comp50_51 final_comps comp50 51 3500 0.459703
final_comps_comp50_51 final_comps comp50 51 3600 0.459918
final_comps_comp50_51 final_comps comp50 51 3700 0.455979
final_comps_comp50_51 final_comps comp50 51 3800 0.447935
final_comps_comp50_51 final_comps comp50 51 3900 0.457568
final_comps_comp50_51 final_comps comp50 51 4000 0.44708
final_comps_comp50_51 final_comps comp50 51 4100 0.463351
final_comps_comp50_51 final_comps comp50 51 4200 0.466862
final_comps_comp50_51 final_comps comp50 51 4300 0.458892
final_comps_comp50_51 final_comps comp50 51 4400 0.457118
final_comps_comp50_51 final_comps comp50 51 4500 0.455106
final_comps_comp50_51 final_comps comp50 51 4600 0.454122
final_comps_comp50_51 final_comps comp50 51 4700 0.43067
final_comps_comp50_51 final_comps comp50 51 4800 0.437131
final_comps_comp50_51 final_comps comp50 51 4900 0.42895
final_comps_comp50_51 final_comps comp50 51 5000 0.430856
final_comps_comp50_51 final_comps comp50 51 5100 0.420428
final_comps_comp50_51 final_comps comp50 51 5200 0.444053
final_comps_comp50_51 final_comps comp50 51 5300 0.432
final_comps_comp50_51 final_comps comp50 51 5400 0.438746
final_comps_comp50_51 final_comps comp50 51 5500 0.452423
final_comps_comp50_51 final_comps comp50 51 5600 0.452836
final_comps_comp50_51 final_comps comp50 51 5700 0.483357
final_comps_comp50_51 final_comps comp50 51 5800 0.477626
final_comps_comp50_51 final_comps comp50 51 5900 0.484982
final_comps_comp50_51 final_comps comp50 51 6000 0.484005
final_comps_comp50_51 final_comps comp50 51 6100 0.492572
final_comps_comp50_51 final_comps comp50 51 6200 0.482394
final_comps_comp50_51 final_comps comp50 51 6300 0.5028
final_comps_comp50_51 final_comps comp50 51 6400 0.515988
final_comps_comp50_51 final_comps comp50 51 6500 0.527051
final_comps_comp50_51 final_comps comp50 51 6600 0.540176
final_comps_comp50_51 final_comps comp50 51 6700 0.549531
final_comps_comp50_51 final_comps comp50 51 6800 0.557958
final_comps_comp50_51 final_comps comp50 51 6900 0.539579
final_comps_comp50_51 final_comps comp50 51 7000 0.551744
final_comps_comp50_51 final_comps comp50 51 7100 0.562315
final_comps_comp50_51 final_comps comp50 51 7200 0.552038
final_comps_comp50_51 final_comps comp50 51 7300 0.554669
final_comps_comp50_51 final_comps comp50 51 7400 0.562334
final_comps_comp50_51 final_comps comp50 51 7500 0.567386
final_comps_comp50_51 final_comps comp50 51 7600 0.561754
final_comps_comp50_51 final_comps comp50 51 7700 0.572975
final_comps_comp50_51 final_comps comp50 51 7800 0.562093
final_comps_comp50_51 final_comps comp50 51 7900 0.554157
final_comps_comp50_51 final_comps comp50 51 8000 0.562084
final_comps_comp50_51 final_comps comp50 51 8100 0.570888
final_comps_comp50_51 final_comps comp50 51 8200 0.561141
final_comps_comp50_51 final_comps comp50 51 8300 0.57438
final_comps_comp50_51 final_comps comp50 51 8400 0.587306
final_comps_comp50_51 final_comps comp50 51 8500 0.606605
final_comps_comp50_51 final_comps comp50 51 8600 0.608984
final_comps_comp50_51 final_comps comp50 51 8700 0.594194
final_comps_comp50_51 final_comps comp50 51 8800 0.58553
final_comps_comp50_51 final_comps comp50 51 8900 0.584597
final_comps_comp50_51 final_comps comp50 51 9000 0.589524
final_comps_comp50_51 final_comps comp50 51 9100 0.594523
final_comps_comp50_51 final_comps comp50 51 9200 0.595266
final_comps_comp50_51 final_comps comp50 51 9300 0.597557
final_comps_comp50_51 final_comps comp50 51 9400 0.611541
final_comps_comp50_51 final_comps comp50 51 9500 0.628355
final_comps_comp50_51 final_comps comp50 51 9600 0.639965
final_comps_comp50_51 final_comps comp50 51 9700 0.643768
final_comps_comp50_51 final_comps comp50 51 9800 0.639941
final_comps_comp50_51 final_comps comp50 51 9900 0.649542
final_comps_comp50_51 final_comps comp50 51 10000 0.658269
final_comps_comp50_51 final_comps comp50 51 10100 0.651338
final_comps_comp50_51 final_comps comp50 51 10200 0.645413
final_comps_comp50_51 final_comps comp50 51 10300 0.624487
final_comps_comp50_51 final_comps comp50 51 10400 0.648076
final_comps_comp50_51 final_comps comp50 51 10500 0.647059
final_comps_comp50_51 final_comps comp50 51 10600 0.625218
final_comps_comp50_51 final_comps comp50 51 10700 0.63391
final_comps_comp50_51 final_comps comp50 51 10800 0.628308
final_comps_comp50_51 final_comps comp50 51 10900 0.630378
final_comps_comp50_51 final_comps comp50 51 11000 0.627417
final_comps_comp50_51 final_comps comp50 51 11100 0.640279
final_comps_comp50_51 final_comps comp50 51 11200 0.659913
final_comps_comp50_51 final_comps comp50 51 11300 0.670674
final_comps_comp50_51 final_comps comp50 51 11400 0.666089
final_comps_comp50_51 final_comps comp50 51 11500 0.675912
final_comps_comp50_51 final_comps comp50 51 11600 0.67855
final_comps_comp50_51 final_comps comp50 51 11700 0.695197
final_comps_comp50_51 final_comps comp50 51 11800 0.696471
final_comps_comp50_51 final_comps comp50 51 11900 0.708382
final_comps_comp50_51 final_comps comp50 51 12000 0.697668
final_comps_comp50_51 final_comps comp50 51 12100 0.702506
final_comps_comp50_51 final_comps comp50 51 12200 0.727616
final_comps_comp50_51 final_comps comp50 51 12300 0.733096
final_comps_comp50_51 final_comps comp50 51 12400 0.753971
final_comps_comp50_51 final_comps comp50 51 12500 0.761347
final_comps_comp50_51 final_comps comp50 51 12600 0.771884
