uid expr treatment rep update smart-explode quorum-sense nop-y
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 0 0 0 0
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 100 0 0 0
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 200 5 33 6
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 300 58 104 57
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 400 240 264 133
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 500 663 554 323
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 600 1162 923 300
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 700 1761 511 299
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 800 2826 397 450
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 900 3163 245 353
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1000 3480 153 392
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1100 3687 346 542
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1200 3698 247 438
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1300 3808 120 558
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1400 4060 206 433
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1500 4123 90 480
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1600 4271 87 555
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1700 4519 88 682
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1800 4663 169 751
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 1900 4709 171 909
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2000 5201 176 1063
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2100 5353 358 1152
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2200 5235 362 1249
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2300 5710 235 1258
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2400 5570 224 1275
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2500 5587 615 1331
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2600 5712 177 1402
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2700 5995 489 1456
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2800 6003 477 1480
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 2900 6030 328 1466
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3000 6010 306 1388
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3100 6132 323 1409
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3200 6015 255 1284
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3300 6061 268 1311
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3400 6214 318 1389
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3500 6022 349 1361
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3600 6006 339 1341
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3700 6095 344 1356
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3800 6227 403 1756
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 3900 6212 684 1623
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4000 6126 542 1402
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4100 6108 628 1441
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4200 6234 834 1397
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4300 5923 641 1401
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4400 6130 800 1423
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4500 6242 1205 1411
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4600 6269 895 1329
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4700 6206 921 1238
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4800 5972 926 1148
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 4900 6258 931 1161
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5000 6108 944 1097
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5100 6143 898 1091
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5200 6346 959 1438
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5300 6206 956 1047
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5400 6134 888 1101
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5500 6067 1211 1084
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5600 6269 805 1162
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5700 6109 897 1075
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5800 6191 899 1089
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 5900 6056 1123 1075
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6000 6198 1235 1173
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6100 6221 1089 1168
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6200 6252 1062 1126
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6300 6106 993 1075
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6400 6305 1190 1315
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6500 6153 1208 1160
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6600 6124 1299 1072
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6700 6312 1282 1022
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6800 6253 1264 1046
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 6900 6100 1315 1097
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7000 6163 1241 1148
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7100 6112 1348 1058
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7200 6241 1425 1021
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7300 5927 1527 958
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7400 6064 1456 1077
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7500 6139 1657 1051
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7600 6182 1528 1105
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7700 6094 1644 995
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7800 6024 1723 948
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7900 6148 1596 932
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8000 6073 1560 955
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8100 6050 1555 841
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8200 6105 1714 825
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8300 6359 1542 943
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8400 6196 1568 897
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8500 5992 1638 948
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8600 6327 1667 835
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8700 6297 1798 731
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8800 6127 1633 662
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8900 6241 1728 621
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9000 6364 1826 633
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9100 6197 1883 546
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9200 6379 1833 498
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9300 6219 1749 460
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9400 6216 2114 428
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9500 6321 1840 401
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9600 6392 1969 651
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9700 6377 2066 406
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9800 6394 2040 299
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9900 6539 2094 326
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10000 6409 2024 446
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10100 6466 2007 514
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10200 6521 2070 413
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10300 6424 2175 315
