uid expr treatment rep update orgs_killed
reg_test_noqs_reg_51 reg_test noqs_reg 51 0 0
reg_test_noqs_reg_51 reg_test noqs_reg 51 100 0
reg_test_noqs_reg_51 reg_test noqs_reg 51 200 0
reg_test_noqs_reg_51 reg_test noqs_reg 51 300 14
reg_test_noqs_reg_51 reg_test noqs_reg 51 400 144
reg_test_noqs_reg_51 reg_test noqs_reg 51 500 690
reg_test_noqs_reg_51 reg_test noqs_reg 51 600 1728
reg_test_noqs_reg_51 reg_test noqs_reg 51 700 2514
reg_test_noqs_reg_51 reg_test noqs_reg 51 800 3822
reg_test_noqs_reg_51 reg_test noqs_reg 51 900 4954
reg_test_noqs_reg_51 reg_test noqs_reg 51 1000 5447
reg_test_noqs_reg_51 reg_test noqs_reg 51 1100 5847
reg_test_noqs_reg_51 reg_test noqs_reg 51 1200 5839
reg_test_noqs_reg_51 reg_test noqs_reg 51 1300 5577
reg_test_noqs_reg_51 reg_test noqs_reg 51 1400 5597
reg_test_noqs_reg_51 reg_test noqs_reg 51 1500 5334
reg_test_noqs_reg_51 reg_test noqs_reg 51 1600 5091
reg_test_noqs_reg_51 reg_test noqs_reg 51 1700 5154
reg_test_noqs_reg_51 reg_test noqs_reg 51 1800 5131
reg_test_noqs_reg_51 reg_test noqs_reg 51 1900 5111
reg_test_noqs_reg_51 reg_test noqs_reg 51 2000 5172
reg_test_noqs_reg_51 reg_test noqs_reg 51 2100 4960
reg_test_noqs_reg_51 reg_test noqs_reg 51 2200 4948
reg_test_noqs_reg_51 reg_test noqs_reg 51 2300 4704
reg_test_noqs_reg_51 reg_test noqs_reg 51 2400 4300
reg_test_noqs_reg_51 reg_test noqs_reg 51 2500 4280
reg_test_noqs_reg_51 reg_test noqs_reg 51 2600 4273
reg_test_noqs_reg_51 reg_test noqs_reg 51 2700 4279
reg_test_noqs_reg_51 reg_test noqs_reg 51 2800 3976
reg_test_noqs_reg_51 reg_test noqs_reg 51 2900 4007
reg_test_noqs_reg_51 reg_test noqs_reg 51 3000 3784
reg_test_noqs_reg_51 reg_test noqs_reg 51 3100 3737
reg_test_noqs_reg_51 reg_test noqs_reg 51 3200 3910
reg_test_noqs_reg_51 reg_test noqs_reg 51 3300 3557
reg_test_noqs_reg_51 reg_test noqs_reg 51 3400 3452
reg_test_noqs_reg_51 reg_test noqs_reg 51 3500 3497
reg_test_noqs_reg_51 reg_test noqs_reg 51 3600 3578
reg_test_noqs_reg_51 reg_test noqs_reg 51 3700 3115
reg_test_noqs_reg_51 reg_test noqs_reg 51 3800 3369
reg_test_noqs_reg_51 reg_test noqs_reg 51 3900 3308
reg_test_noqs_reg_51 reg_test noqs_reg 51 4000 3352
reg_test_noqs_reg_51 reg_test noqs_reg 51 4100 3052
reg_test_noqs_reg_51 reg_test noqs_reg 51 4200 3452
reg_test_noqs_reg_51 reg_test noqs_reg 51 4300 3274
reg_test_noqs_reg_51 reg_test noqs_reg 51 4400 3332
reg_test_noqs_reg_51 reg_test noqs_reg 51 4500 3123
reg_test_noqs_reg_51 reg_test noqs_reg 51 4600 2949
reg_test_noqs_reg_51 reg_test noqs_reg 51 4700 3179
reg_test_noqs_reg_51 reg_test noqs_reg 51 4800 3409
reg_test_noqs_reg_51 reg_test noqs_reg 51 4900 3261
reg_test_noqs_reg_51 reg_test noqs_reg 51 5000 3394
reg_test_noqs_reg_51 reg_test noqs_reg 51 5100 3257
reg_test_noqs_reg_51 reg_test noqs_reg 51 5200 2952
reg_test_noqs_reg_51 reg_test noqs_reg 51 5300 3031
reg_test_noqs_reg_51 reg_test noqs_reg 51 5400 2630
reg_test_noqs_reg_51 reg_test noqs_reg 51 5500 2939
reg_test_noqs_reg_51 reg_test noqs_reg 51 5600 2711
reg_test_noqs_reg_51 reg_test noqs_reg 51 5700 2760
reg_test_noqs_reg_51 reg_test noqs_reg 51 5800 2557
reg_test_noqs_reg_51 reg_test noqs_reg 51 5900 2848
reg_test_noqs_reg_51 reg_test noqs_reg 51 6000 2761
reg_test_noqs_reg_51 reg_test noqs_reg 51 6100 2647
reg_test_noqs_reg_51 reg_test noqs_reg 51 6200 2848
reg_test_noqs_reg_51 reg_test noqs_reg 51 6300 2701
reg_test_noqs_reg_51 reg_test noqs_reg 51 6400 2850
reg_test_noqs_reg_51 reg_test noqs_reg 51 6500 2573
reg_test_noqs_reg_51 reg_test noqs_reg 51 6600 2594
reg_test_noqs_reg_51 reg_test noqs_reg 51 6700 2723
reg_test_noqs_reg_51 reg_test noqs_reg 51 6800 2699
reg_test_noqs_reg_51 reg_test noqs_reg 51 6900 2622
reg_test_noqs_reg_51 reg_test noqs_reg 51 7000 2820
reg_test_noqs_reg_51 reg_test noqs_reg 51 7100 2469
reg_test_noqs_reg_51 reg_test noqs_reg 51 7200 2540
reg_test_noqs_reg_51 reg_test noqs_reg 51 7300 2592
reg_test_noqs_reg_51 reg_test noqs_reg 51 7400 2521
reg_test_noqs_reg_51 reg_test noqs_reg 51 7500 2564
reg_test_noqs_reg_51 reg_test noqs_reg 51 7600 2621
reg_test_noqs_reg_51 reg_test noqs_reg 51 7700 2769
reg_test_noqs_reg_51 reg_test noqs_reg 51 7800 2572
reg_test_noqs_reg_51 reg_test noqs_reg 51 7900 2763
reg_test_noqs_reg_51 reg_test noqs_reg 51 8000 2747
reg_test_noqs_reg_51 reg_test noqs_reg 51 8100 2295
reg_test_noqs_reg_51 reg_test noqs_reg 51 8200 2815
reg_test_noqs_reg_51 reg_test noqs_reg 51 8300 2683
reg_test_noqs_reg_51 reg_test noqs_reg 51 8400 2753
reg_test_noqs_reg_51 reg_test noqs_reg 51 8500 2493
reg_test_noqs_reg_51 reg_test noqs_reg 51 8600 2716
reg_test_noqs_reg_51 reg_test noqs_reg 51 8700 2532
reg_test_noqs_reg_51 reg_test noqs_reg 51 8800 2552
reg_test_noqs_reg_51 reg_test noqs_reg 51 8900 2690
reg_test_noqs_reg_51 reg_test noqs_reg 51 9000 2659
reg_test_noqs_reg_51 reg_test noqs_reg 51 9100 2633
reg_test_noqs_reg_51 reg_test noqs_reg 51 9200 2360
reg_test_noqs_reg_51 reg_test noqs_reg 51 9300 2643
reg_test_noqs_reg_51 reg_test noqs_reg 51 9400 2628
reg_test_noqs_reg_51 reg_test noqs_reg 51 9500 2616
reg_test_noqs_reg_51 reg_test noqs_reg 51 9600 2727
reg_test_noqs_reg_51 reg_test noqs_reg 51 9700 2812
reg_test_noqs_reg_51 reg_test noqs_reg 51 9800 2806
reg_test_noqs_reg_51 reg_test noqs_reg 51 9900 2812
reg_test_noqs_reg_51 reg_test noqs_reg 51 10000 2839
reg_test_noqs_reg_51 reg_test noqs_reg 51 10100 2844
reg_test_noqs_reg_51 reg_test noqs_reg 51 10200 2736
reg_test_noqs_reg_51 reg_test noqs_reg 51 10300 2803
reg_test_noqs_reg_51 reg_test noqs_reg 51 10400 2832
reg_test_noqs_reg_51 reg_test noqs_reg 51 10500 3067
reg_test_noqs_reg_51 reg_test noqs_reg 51 10600 2735
reg_test_noqs_reg_51 reg_test noqs_reg 51 10700 2753
reg_test_noqs_reg_51 reg_test noqs_reg 51 10800 2905
reg_test_noqs_reg_51 reg_test noqs_reg 51 10900 2800
reg_test_noqs_reg_51 reg_test noqs_reg 51 11000 2904
reg_test_noqs_reg_51 reg_test noqs_reg 51 11100 3057
reg_test_noqs_reg_51 reg_test noqs_reg 51 11200 2844
reg_test_noqs_reg_51 reg_test noqs_reg 51 11300 2931
reg_test_noqs_reg_51 reg_test noqs_reg 51 11400 2782
reg_test_noqs_reg_51 reg_test noqs_reg 51 11500 2969
reg_test_noqs_reg_51 reg_test noqs_reg 51 11600 2728
reg_test_noqs_reg_51 reg_test noqs_reg 51 11700 2716
reg_test_noqs_reg_51 reg_test noqs_reg 51 11800 2720
reg_test_noqs_reg_51 reg_test noqs_reg 51 11900 2835
reg_test_noqs_reg_51 reg_test noqs_reg 51 12000 2604
reg_test_noqs_reg_51 reg_test noqs_reg 51 12100 2960
reg_test_noqs_reg_51 reg_test noqs_reg 51 12200 2822
reg_test_noqs_reg_51 reg_test noqs_reg 51 12300 2984
reg_test_noqs_reg_51 reg_test noqs_reg 51 12400 2717
reg_test_noqs_reg_51 reg_test noqs_reg 51 12500 2846
reg_test_noqs_reg_51 reg_test noqs_reg 51 12600 2959
reg_test_noqs_reg_51 reg_test noqs_reg 51 12700 2570
reg_test_noqs_reg_51 reg_test noqs_reg 51 12800 2749
reg_test_noqs_reg_51 reg_test noqs_reg 51 12900 2760
reg_test_noqs_reg_51 reg_test noqs_reg 51 13000 2496
reg_test_noqs_reg_51 reg_test noqs_reg 51 13100 2537
reg_test_noqs_reg_51 reg_test noqs_reg 51 13200 2804
reg_test_noqs_reg_51 reg_test noqs_reg 51 13300 2437
reg_test_noqs_reg_51 reg_test noqs_reg 51 13400 2572
reg_test_noqs_reg_51 reg_test noqs_reg 51 13500 2924
reg_test_noqs_reg_51 reg_test noqs_reg 51 13600 2709
reg_test_noqs_reg_51 reg_test noqs_reg 51 13700 2535
reg_test_noqs_reg_51 reg_test noqs_reg 51 13800 2720
reg_test_noqs_reg_51 reg_test noqs_reg 51 13900 2659
reg_test_noqs_reg_51 reg_test noqs_reg 51 14000 2791
reg_test_noqs_reg_51 reg_test noqs_reg 51 14100 2717
reg_test_noqs_reg_51 reg_test noqs_reg 51 14200 2256
reg_test_noqs_reg_51 reg_test noqs_reg 51 14300 2773
reg_test_noqs_reg_51 reg_test noqs_reg 51 14400 2736
reg_test_noqs_reg_51 reg_test noqs_reg 51 14500 2667
reg_test_noqs_reg_51 reg_test noqs_reg 51 14600 2793
reg_test_noqs_reg_51 reg_test noqs_reg 51 14700 2612
reg_test_noqs_reg_51 reg_test noqs_reg 51 14800 2513
reg_test_noqs_reg_51 reg_test noqs_reg 51 14900 2590
reg_test_noqs_reg_51 reg_test noqs_reg 51 15000 2353
reg_test_noqs_reg_51 reg_test noqs_reg 51 15100 2358
reg_test_noqs_reg_51 reg_test noqs_reg 51 15200 2654
reg_test_noqs_reg_51 reg_test noqs_reg 51 15300 2756
reg_test_noqs_reg_51 reg_test noqs_reg 51 15400 3004
reg_test_noqs_reg_51 reg_test noqs_reg 51 15500 2860
reg_test_noqs_reg_51 reg_test noqs_reg 51 15600 2796
reg_test_noqs_reg_51 reg_test noqs_reg 51 15700 2577
reg_test_noqs_reg_51 reg_test noqs_reg 51 15800 2864
reg_test_noqs_reg_51 reg_test noqs_reg 51 15900 2754
reg_test_noqs_reg_51 reg_test noqs_reg 51 16000 2697
reg_test_noqs_reg_51 reg_test noqs_reg 51 16100 2686
reg_test_noqs_reg_51 reg_test noqs_reg 51 16200 2664
reg_test_noqs_reg_51 reg_test noqs_reg 51 16300 2966
reg_test_noqs_reg_51 reg_test noqs_reg 51 16400 2894
reg_test_noqs_reg_51 reg_test noqs_reg 51 16500 2999
reg_test_noqs_reg_51 reg_test noqs_reg 51 16600 2920
reg_test_noqs_reg_51 reg_test noqs_reg 51 16700 3097
reg_test_noqs_reg_51 reg_test noqs_reg 51 16800 3034
reg_test_noqs_reg_51 reg_test noqs_reg 51 16900 2941
reg_test_noqs_reg_51 reg_test noqs_reg 51 17000 2713
reg_test_noqs_reg_51 reg_test noqs_reg 51 17100 2807
reg_test_noqs_reg_51 reg_test noqs_reg 51 17200 3032
reg_test_noqs_reg_51 reg_test noqs_reg 51 17300 3103
reg_test_noqs_reg_51 reg_test noqs_reg 51 17400 3008
reg_test_noqs_reg_51 reg_test noqs_reg 51 17500 3218
reg_test_noqs_reg_51 reg_test noqs_reg 51 17600 3127
reg_test_noqs_reg_51 reg_test noqs_reg 51 17700 3420
reg_test_noqs_reg_51 reg_test noqs_reg 51 17800 3134
reg_test_noqs_reg_51 reg_test noqs_reg 51 17900 3022
reg_test_noqs_reg_51 reg_test noqs_reg 51 18000 3201
reg_test_noqs_reg_51 reg_test noqs_reg 51 18100 2912
