uid expr treatment rep update popsize
reg_test_noqs_reg_51 reg_test noqs_reg 51 0 1
reg_test_noqs_reg_51 reg_test noqs_reg 51 100 82
reg_test_noqs_reg_51 reg_test noqs_reg 51 200 484
reg_test_noqs_reg_51 reg_test noqs_reg 51 300 1217
reg_test_noqs_reg_51 reg_test noqs_reg 51 400 2286
reg_test_noqs_reg_51 reg_test noqs_reg 51 500 3389
reg_test_noqs_reg_51 reg_test noqs_reg 51 600 3452
reg_test_noqs_reg_51 reg_test noqs_reg 51 700 3299
reg_test_noqs_reg_51 reg_test noqs_reg 51 800 3242
reg_test_noqs_reg_51 reg_test noqs_reg 51 900 2981
reg_test_noqs_reg_51 reg_test noqs_reg 51 1000 3015
reg_test_noqs_reg_51 reg_test noqs_reg 51 1100 2859
reg_test_noqs_reg_51 reg_test noqs_reg 51 1200 2850
reg_test_noqs_reg_51 reg_test noqs_reg 51 1300 2956
reg_test_noqs_reg_51 reg_test noqs_reg 51 1400 2930
reg_test_noqs_reg_51 reg_test noqs_reg 51 1500 3006
reg_test_noqs_reg_51 reg_test noqs_reg 51 1600 3013
reg_test_noqs_reg_51 reg_test noqs_reg 51 1700 2956
reg_test_noqs_reg_51 reg_test noqs_reg 51 1800 2976
reg_test_noqs_reg_51 reg_test noqs_reg 51 1900 2959
reg_test_noqs_reg_51 reg_test noqs_reg 51 2000 2956
reg_test_noqs_reg_51 reg_test noqs_reg 51 2100 2956
reg_test_noqs_reg_51 reg_test noqs_reg 51 2200 3026
reg_test_noqs_reg_51 reg_test noqs_reg 51 2300 2993
reg_test_noqs_reg_51 reg_test noqs_reg 51 2400 2995
reg_test_noqs_reg_51 reg_test noqs_reg 51 2500 3063
reg_test_noqs_reg_51 reg_test noqs_reg 51 2600 3035
reg_test_noqs_reg_51 reg_test noqs_reg 51 2700 3043
reg_test_noqs_reg_51 reg_test noqs_reg 51 2800 3110
reg_test_noqs_reg_51 reg_test noqs_reg 51 2900 3079
reg_test_noqs_reg_51 reg_test noqs_reg 51 3000 3175
reg_test_noqs_reg_51 reg_test noqs_reg 51 3100 3219
reg_test_noqs_reg_51 reg_test noqs_reg 51 3200 3181
reg_test_noqs_reg_51 reg_test noqs_reg 51 3300 3187
reg_test_noqs_reg_51 reg_test noqs_reg 51 3400 3217
reg_test_noqs_reg_51 reg_test noqs_reg 51 3500 3196
reg_test_noqs_reg_51 reg_test noqs_reg 51 3600 3133
reg_test_noqs_reg_51 reg_test noqs_reg 51 3700 3210
reg_test_noqs_reg_51 reg_test noqs_reg 51 3800 3289
reg_test_noqs_reg_51 reg_test noqs_reg 51 3900 3271
reg_test_noqs_reg_51 reg_test noqs_reg 51 4000 3208
reg_test_noqs_reg_51 reg_test noqs_reg 51 4100 3281
reg_test_noqs_reg_51 reg_test noqs_reg 51 4200 3187
reg_test_noqs_reg_51 reg_test noqs_reg 51 4300 3212
reg_test_noqs_reg_51 reg_test noqs_reg 51 4400 3210
reg_test_noqs_reg_51 reg_test noqs_reg 51 4500 3258
reg_test_noqs_reg_51 reg_test noqs_reg 51 4600 3295
reg_test_noqs_reg_51 reg_test noqs_reg 51 4700 3230
reg_test_noqs_reg_51 reg_test noqs_reg 51 4800 3148
reg_test_noqs_reg_51 reg_test noqs_reg 51 4900 3221
reg_test_noqs_reg_51 reg_test noqs_reg 51 5000 3234
reg_test_noqs_reg_51 reg_test noqs_reg 51 5100 3246
reg_test_noqs_reg_51 reg_test noqs_reg 51 5200 3293
reg_test_noqs_reg_51 reg_test noqs_reg 51 5300 3344
reg_test_noqs_reg_51 reg_test noqs_reg 51 5400 3344
reg_test_noqs_reg_51 reg_test noqs_reg 51 5500 3324
reg_test_noqs_reg_51 reg_test noqs_reg 51 5600 3336
reg_test_noqs_reg_51 reg_test noqs_reg 51 5700 3349
reg_test_noqs_reg_51 reg_test noqs_reg 51 5800 3349
reg_test_noqs_reg_51 reg_test noqs_reg 51 5900 3320
reg_test_noqs_reg_51 reg_test noqs_reg 51 6000 3333
reg_test_noqs_reg_51 reg_test noqs_reg 51 6100 3405
reg_test_noqs_reg_51 reg_test noqs_reg 51 6200 3333
reg_test_noqs_reg_51 reg_test noqs_reg 51 6300 3373
reg_test_noqs_reg_51 reg_test noqs_reg 51 6400 3340
