uid expr treatment rep update kabooms
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 0 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 100 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 200 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 300 13
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 400 50
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 500 156
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 600 348
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 700 718
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 800 1160
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 900 1457
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1000 1619
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1100 1835
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1200 1942
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1300 2049
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1400 2124
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1500 2220
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1600 2383
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1700 2519
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1800 2644
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1900 2758
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2000 2795
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2100 2926
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2200 3081
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2300 3076
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2400 3059
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2500 3041
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2600 3123
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2700 3141
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2800 3172
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2900 3068
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3000 3084
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3100 3133
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3200 3078
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3300 3072
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3400 3116
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3500 3138
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3600 2993
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3700 3094
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3800 3121
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3900 3041
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4000 3026
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4100 3003
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4200 3104
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4300 3049
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4400 2943
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4500 2997
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4600 2983
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4700 2863
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4800 2813
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4900 2802
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5000 2786
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5100 2749
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5200 2725
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5300 2659
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5400 2692
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5500 2629
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5600 2547
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5700 2589
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5800 2449
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5900 2453
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6000 2368
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6100 2355
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6200 2289
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6300 2199
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6400 2109
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6500 2094
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6600 2012
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6700 1990
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6800 1842
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6900 1727
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7000 1758
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7100 1812
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7200 1797
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7300 1813
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7400 1641
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7500 1588
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7600 1561
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7700 1552
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7800 1511
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7900 1507
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8000 1431
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8100 1436
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8200 1333
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8300 1236
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8400 1237
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8500 1190
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8600 1170
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8700 1158
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8800 1174
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8900 1063
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9000 1129
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9100 1103
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9200 1071
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9300 1178
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9400 1094
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9500 1023
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9600 1035
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9700 1090
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9800 1145
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9900 1079
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10000 1121
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10100 1078
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10200 1098
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10300 1178
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10400 1123
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10500 1156
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10600 1059
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10700 1191
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10800 1221
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10900 1185
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11000 1142
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11100 1137
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11200 1101
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11300 1160
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11400 1087
