uid expr treatment rep update orgs_killed
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 0 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 100 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 200 0
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 300 74
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 400 429
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 500 1222
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 600 2506
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 700 4287
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 800 5218
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 900 5748
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1000 5625
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1100 5386
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1200 5537
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1300 5206
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1400 5141
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1500 4931
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1600 4622
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1700 4829
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1800 4463
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1900 4496
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2000 4632
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2100 4528
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2200 4228
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2300 3917
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2400 4030
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2500 3766
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2600 4052
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2700 4048
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2800 3850
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2900 3667
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3000 3620
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3100 3527
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3200 3451
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3300 3764
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3400 3454
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3500 3661
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3600 3666
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3700 3285
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3800 3396
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3900 3299
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4000 3193
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4100 3078
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4200 2765
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4300 2896
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4400 2907
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4500 3067
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4600 2575
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4700 2591
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4800 2799
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 4900 2593
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5000 2680
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5100 2487
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5200 2617
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5300 2560
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5400 2560
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5500 2693
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5600 2631
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5700 2719
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5800 2618
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 5900 2654
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6000 2631
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6100 2506
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6200 2425
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6300 2520
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6400 2388
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6500 2631
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6600 2527
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6700 2610
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6800 2378
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 6900 2390
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7000 2249
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7100 2647
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7200 2532
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7300 2580
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7400 2545
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7500 2524
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7600 2346
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7700 2546
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7800 2390
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 7900 2430
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8000 2306
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8100 2428
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8200 2466
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8300 2350
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8400 2227
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8500 2244
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8600 2319
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8700 2278
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8800 2309
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8900 2145
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9000 2180
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9100 2198
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9200 2203
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9300 2332
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9400 2183
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9500 2115
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9600 1968
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9700 2258
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9800 2344
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9900 2194
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10000 2239
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10100 2149
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10200 2163
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10300 2259
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10400 2316
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10500 2319
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10600 2080
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10700 2257
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10800 2485
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10900 2371
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11000 2230
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11100 2296
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11200 2312
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11300 2202
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11400 2113
