uid expr treatment rep update popsize
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 0 1
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 100 79
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 200 473
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 300 1140
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 400 2163
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 500 3192
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 600 3339
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 700 3040
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 800 2988
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 900 2879
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1000 2826
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1100 2911
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1200 2948
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1300 2961
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1400 3015
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1500 2965
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1600 3075
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1700 3008
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1800 3057
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 1900 3061
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2000 2983
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2100 3041
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2200 3037
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2300 3099
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2400 3156
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2500 3186
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2600 3132
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2700 3097
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2800 3172
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 2900 3189
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3000 3226
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 3100 3160
