uid expr treatment rep update smart-explode quorum-sense nop-y
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 0 0 0 0
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 100 2 0 0
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 200 4 19 36
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 300 54 92 139
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 400 206 631 417
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 500 498 570 515
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 600 1016 451 591
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 700 1809 448 691
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 800 2607 439 728
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 900 3084 282 740
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1000 3274 344 820
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1100 3272 388 894
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1200 3380 398 945
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1300 3338 428 729
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1400 3521 627 631
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1500 3528 403 549
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1600 4229 400 332
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1700 3934 498 301
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1800 4220 625 308
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 1900 4488 650 377
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2000 4763 781 457
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2100 5188 881 550
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2200 5100 970 583
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2300 5404 1055 603
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2400 5811 1091 789
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2500 5937 1266 781
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2600 6377 1136 760
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2700 6300 1144 647
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2800 6572 1302 576
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 2900 6561 1274 449
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3000 6630 1261 609
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3100 6615 1181 441
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3200 6782 1145 403
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3300 6826 1154 318
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3400 6950 1151 316
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3500 6826 1143 376
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3600 6676 1077 350
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3700 7051 1232 282
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3800 7240 997 272
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 3900 7296 1022 180
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4000 7223 1015 130
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4100 7310 1067 107
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4200 7110 1133 47
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4300 7427 1194 155
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4400 7372 1245 256
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4500 7062 1294 50
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4600 7569 1656 65
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4700 7488 1516 50
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4800 7524 1464 59
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 4900 7733 1528 184
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5000 7763 1642 67
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5100 7789 1840 95
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5200 7696 1682 91
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5300 7907 1816 287
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5400 7732 1791 74
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5500 7532 2313 81
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5600 7706 2028 83
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5700 7829 1933 109
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5800 7865 2017 70
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 5900 8122 2025 116
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6000 7971 1916 109
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6100 7979 1907 71
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6200 7849 1997 61
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6300 8240 1988 69
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6400 8379 2228 53
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6500 7977 2147 51
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6600 8532 2198 49
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6700 8314 2228 45
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6800 8707 2302 32
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 6900 8621 2369 29
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7000 8814 2513 129
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7100 8774 2485 26
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7200 9072 2451 63
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7300 8967 2466 35
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7400 9008 2586 59
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7500 8884 2457 91
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7600 8968 2752 99
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7700 9011 2780 86
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7800 9187 3182 115
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 7900 8813 2909 104
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8000 9127 3060 285
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8100 9056 2586 95
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8200 9032 2516 72
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8300 9095 2485 240
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8400 9333 2549 57
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8500 9253 2580 43
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8600 9296 2648 55
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8700 9361 2644 51
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8800 9326 2661 65
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 8900 9559 2843 21
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9000 9474 3259 41
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9100 9600 3203 53
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9200 9479 3028 157
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9300 9418 2860 69
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9400 9560 2881 95
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9500 9834 3003 59
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9600 10130 3053 50
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9700 9815 3081 56
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9800 9679 3081 360
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 9900 9840 3119 73
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10000 9784 3125 67
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10100 9718 3133 82
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10200 9801 3185 90
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10300 9956 3251 99
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10400 9989 3396 86
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10500 10039 3438 62
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10600 10044 3412 52
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10700 9987 3557 55
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10800 10100 3390 58
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 10900 10374 3437 57
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11000 9970 3423 59
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11100 10167 3440 65
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11200 10170 3526 34
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11300 9997 3485 40
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11400 9890 3474 52
reg_test_noisy_1_nopy_51 reg_test noisy_1_nopy 51 11500 10185 3595 38
